review,Used it for,Owned for,Ridden for,rating,Visual Appeal,Reliability,Performance,Service Experience,Extra Features,Comfort,Maintenance cost,Value for Money,Model Name
"Buying was smooth, riding is ok because low suspension and thin fiber body, look and performance of battery is good, service is ok. Thin fiber body makes noise on uneven roads, Low suspension so have to be careful on humps, poor quality fiber and design for back wheel mudguard so got broken within 1500 km low speed drive. Center stand spring not good so it always jumps on uneven roads while driving, battery charging at home but have to charge 2-3 times with intervals to get full charge. Every time it shows it's fully charge but if you charge again after some time it takes charge. And with this trick it gives good range. Front light is so so in night to drive. Top speed is 55 when battery full charge. And will reduce to 50-51 if battery is charge less then 50%.Battery jumps a lot under the sit and the company belt is not good to hold it. With me 2 times it got broke. So last I did trick by filling stuff on top and side of battery which can hold it under the sit. But it's smooth on smooth roads, and gives 100 plus km range on one charge with driving less then 45. So good for daily city drive. I am using it for daily average 75 km drive in Bangalore from past 20+ days.",Daily Commute,< 3 months,< 5000 kms,3,4,3,4,3,2,,,,PURE EV ETrance Neo
"I bought this bike last 10 days ago. After driving with top speed of 50 km/h to 57 km/h, there was no more speed above 57 km/h to 60 km/h. I will try for a simple test with out any load in bike then show me 61 kmph. After load the bike showed me 50 km/h to 60 km/h. Its the best point. Its is used for 5' feet to 5'6 inch person freely. But its is the best bike for retired government employees and mature man and young man who love slow drives it. Its not for young man who loves speed drive. Now tension for petrol. Only charge and go. After some time go then i will comment again for this bike..",Daily Commute,< 3 months,< 5000 kms,3,3,3,3,,3,,,,PURE EV ETrance Neo
The top speed decreases 50 -53 as the battery decreases. The suspensions are not very good. There are lack of feature as other companies offer a lot of features at the same price . A lot of impact on the speed and range when ridden with 100 kg weight . Mine takes 2.5 to 3 hours even when charged from 50 percent .Ground clearance is bit low.,Daily Commute,6 months-1 yr,< 5000 kms,3,5,3,,4,,3,,3,PURE EV ETrance Neo
"Buying experience was good but don't go for pure ev because they cheat customer. If we compare speed and distance as per gmaps both are fake. It shows 60km/h on odometer but 48-49km/h on gmaps. If we travel 10 kms on gmaps then odometer show12.8 kms.
Fake commitment....Don't go for this company....Price is also too high.",Daily Commute,3-6 months,< 5000 kms,1,1,1,3,1,1,,4,,PURE EV ETrance Neo
"I got to know about this brand from a comment in youtube under a review about ather450 lol. Bought ETrance neo after a lot of research. Got it delivered in 7 days after booking, using it for 2 weeks now and following is my findings and reviews about the vehicle.
Price: 88000 (on-road) accessories included-charger, mirrors, ladies handle & footrest, left side footrest and mat.
Charging time: approx. 4hrs (0-100%)
Range: 105 kms (mixed mode riding with pillions most of the time)
Since pure is a startup, there are some defects like;
1. Water gets inside the switches, especially inside the high/low beam switch with make the headlight stuck in only high beam, and when I toggle the switch the odometer gets reset into zero. (I contacted the dealer and they replaced both the switch and the display unit but the issue persists.
2. The mcb in my scooter was defective and it constantly tripped. (dealer replaced it in a day)
3. The disk brake calipers is loose and makes sound while driving. (service tech told there is nothing that can be done about it)
I test drove both hero and pure ev and from the riding experience I felt pure is much better in refinement (hero jerks a lot while accelerating initially whereas ETrance offered much more refined and stable acceleration.)
Performance and look is satisfactory.
Don't know about servicing or maintenance needed yet.
Pros:
1.Good range
2.Sufficient performance needed in a city.
3. And anything else that you can find in youtube :p
Cons:
1. Low/no storage space (battery fills the space under seat.
2. Pillion comfort is not up to the mark but superb for single riding.
3. Inferior quality of materials and hardware.
4. Not rain friendly as i said earlier.
Overall I am satisfied with the vehicle but pure could've made it much better. Hope they'll listen to the feedbacks and improve in future...",Everything,< 3 months,< 5000 kms,4,5,4,5,3,4,,4,,PURE EV ETrance Neo
"Buying experience good
Riding experience okay
Looks: excellent
Performance: upto the mark
Servicing and maintenance: upto the mark in my city Rajahmundry
Pros: mileage and top speed as per promised
Cons: suspension on ghat roads.
On road price of the bike varies from vendor to vendor. I purchased the bike at Rajahmundry dealer for 85000 including RTO accessories and all.",Daily Commute,< 3 months,< 5000 kms,3,5,5,5,5,2,,4,,PURE EV ETrance Neo
"Buying experience good, riding experience good, performance is average. Service is very poor. Worst suspension, it have faulty speedometer. Dealer is not ready to cooperate. For speedometer they are say it takes 15 days to repair. It must be replaced, but they denied for replacement. If it is like that we may not expect good service in future. Rear suspension is too much delicate, worst in experience.",Daily Commute,< 3 months,< 5000 kms,1,2,2,2,1,1,,4,,PURE EV ETrance Neo
"Changed review after 1000 km. Range is better than any other e scooter in this price segment. Get 105+ range in eco mode. Got true range 96 km range in second mode. With pillion it will reduce it to 90 km. Brakes are too good. Showroom people were very helpful.
Improvement-
1)Instrument console is clear but battery indicator could have shown in percentage for accurate batter indication.
2) seat could be more spacious.",Daily Commute,< 3 months,< 5000 kms,4,5,4,5,5,5,,4,,PURE EV ETrance Neo
"ETrance Neo is the best economical electric scooter in India. Pure lithium battery is awesome. Smooth riding.
Pros :
Best range (I got 140 km in 1st mode)
Best pickup more than other petrol vehicles in this range
Best Ev scooter
Cons :
Tyre should be 12 inches
Battery case should more better
Boot space should be more",Everything,3-6 months,< 5000 kms,5,5,5,5,5,5,,5,,PURE EV ETrance Neo
"Showroom staffs are good and helpful. It was very smooth buying.
Pros-
1)Good range - got more than 95km every time in 2 and 3 mode.
2) Good battery indicator
3) Brakes are really smooth.
4) Tires are of good quality.
Cons-
1) Size of scooty is very small. Even if the pillion is thin still it will be little uncomfortable.
2) This scooty is good for people of height 5'6"" or less. Above this people will have issue in smooth turning. You need to bring out your legs outside to turn.
3) Suspensions have issues. I started getting sounds when it goes through speed breakers hoping my 1st service will fix it.
I have ridden this scooty for just 600 km. Based upon which I gave this review. Please don't think to buy this scooty and ride your fat Indian mom, your mom won't fit in that space.",Daily Commute,< 3 months,< 5000 kms,3,4,3,,,,2,,4,PURE EV ETrance Neo
"Its good at performance. On a single charge I can reach upto 135 km
Required charge after getting green light in charger is 20 minutes .So total charging time in hour is 3. 40 minutes. Apply nitrogen air for both the tires getting smooth run and improved mileage.",Daily Commute,< 3 months,< 5000 kms,4,,,,,,,,,PURE EV ETrance Neo
